"DateTime","2023","2024","2025"
"1970-06-16 23:00:00",18.68,,680.84
"1970-06-17 23:00:00",9.39,,872.45
"1970-06-18 23:00:00",16.8,,671.57
"1970-06-19 23:00:00",9.39,,697.16
"1970-06-20 23:00:00",32.72,,463.12
"1970-06-21 23:00:00",26.97,,553.13
"1970-06-22 23:00:00",40.23,,749.14
"1970-06-23 23:00:00",20.67,,776.92
"1970-06-24 23:00:00",8.4,,651.54
"1970-06-25 23:00:00",23.32,,769.43
"1970-06-26 23:00:00",20.78,,723.92
"1970-06-27 23:00:00",39.24,,621.05
"1970-06-28 23:00:00",33.6,,474.99
"1970-06-29 23:00:00",28.53,,697.94
"1970-06-30 23:00:00",35.48,,868.47
"1970-07-01 23:00:00",16.8,,809.33
"1970-07-02 23:00:00",32.61,,812.44
"1970-07-03 23:00:00",19.67,,605.34
"1970-07-04 23:00:00",40.46,,695.66
"1970-07-05 23:00:00",33.71,1147.38,561.87
"1970-07-06 23:00:00",30.4,1046.79,778.97
"1970-07-07 23:00:00",17.8,861.16,856.68
"1970-07-08 23:00:00",16.91,1057.05,870.82
"1970-07-09 23:00:00",25.21,1163.95,810.83
"1970-07-10 23:00:00",33.61,1208.61,735.81
"1970-07-11 23:00:00",39.24,1379.79,619.61
"1970-07-12 23:00:00",30.07,,563.44
"1970-07-13 23:00:00",35.71,,899.55
"1970-07-14 23:00:00",27.97,,775.33
"1970-07-15 23:00:00",15.03,,802.21
"1970-07-16 23:00:00",31.83,,896.26
"1970-07-17 23:00:00",16.91,,714.54
"1970-07-18 23:00:00",46.43,,690.69
"1970-07-19 23:00:00",32.72,,550.47
"1970-07-20 23:00:00",28.08,,993.41
"1970-07-21 23:00:00",23.43,,838.08
"1970-07-22 23:00:00",8.4,,887.64
"1970-07-23 23:00:00",17.68,,785.04
"1970-07-24 23:00:00",40.46,,791.92
"1970-07-25 23:00:00",26.42,,645.91
"1970-07-26 23:00:00",13.93,,538.98
"1970-07-27 23:00:00",26.97,,910.94
"1970-07-28 23:00:00",32.72,,934.9
"1970-07-29 23:00:00",18.68,,
"1970-07-30 23:00:00",23.11,,969.03
"1970-07-31 23:00:00",46.1,,846.49
"1970-08-01 23:00:00",36.94,,666.36
"1970-08-02 23:00:00",43.11,,538.98
"1970-08-03 23:00:00",32.28,,1033.75
"1970-08-04 23:00:00",13.15,,834.64
"1970-08-05 23:00:00",17.79,,679.8
"1970-08-06 23:00:00",9.39,,807.67
"1970-08-07 23:00:00",26.31,,748.44
"1970-08-08 23:00:00",35.71,,692.4
"1970-08-09 23:00:00",30.18,,554.22
"1970-08-10 23:00:00",22.44,,809.12
"1970-08-11 23:00:00",11.16,,745.64
"1970-08-12 23:00:00",5.64,,872.76
"1970-08-13 23:00:00",35.48,,1068.64
"1970-08-14 23:00:00",33.71,,796.27
